Municipality,Composition,Percent of Industrial Waste
Dipayal Silgadhi,Rubber and Leather,1.61
Dipayal Silgadhi,Others,11.43
Gaur,Organic Waste,22.42
Gaur,Plastics,6.59
Gaur,Paper and Paper Products,21.87
Gaur,Glass,4.44
Gaur,Metals,0
Gaur,Textiles,0
Gaur,Rubber and Leather,0
Gaur,Others,44.68
Ghorahi,Organic Waste,21.38
Ghorahi,Plastics,17.32
Ghorahi,Paper and Paper Products,39.33
Ghorahi,Glass,2.5
Ghorahi,Metals,0.43
Ghorahi,Textiles,3.67
Ghorahi,Rubber and Leather,0.39
Ghorahi,Others,14.98
Gorkha,Organic Waste,18.03
Gorkha,Plastics,26.47
Gorkha,Paper and Paper Products,45.55
Gorkha,Glass,1.82
Gorkha,Metals,2.5
Gorkha,Textiles,0
Gorkha,Rubber and Leather,0
Gorkha,Others,5.64
Gulariya,Organic Waste,8.95
Gulariya,Plastics,11.28
Gulariya,Paper and Paper Products,56.74
Gulariya,Glass,0.08
Gulariya,Metals,0
Gulariya,Textiles,0
Gulariya,Rubber and Leather,0.62
Gulariya,Others,22.33
Hetuda,Organic Waste,8.01
Hetuda,Plastics,29.61
Hetuda,Paper and Paper Products,49.09
Hetuda,Glass,0.98
Hetuda,Metals,1.33
Hetuda,Textiles,1.3
Hetuda,Rubber and Leather,0.08
Hetuda,Others,9.61
Ilam,Organic Waste,60.1
Ilam,Plastics,6.83
Ilam,Paper and Paper Products,16.34
Ilam,Glass,1.96
Ilam,Metals,0.97
Ilam,Textiles,0.88
Ilam,Rubber and Leather,0.82
Ilam,Others,12.1
Inaruwa,Organic Waste,1.5
Inaruwa,Plastics,4
Inaruwa,Paper and Paper Products,40.8
Inaruwa,Glass,0
Inaruwa,Metals,0.59
Inaruwa,Textiles,0.88
Inaruwa,Rubber and Leather,0
Inaruwa,Others,52.23
Itahari,Organic Waste,25.64
Itahari,Plastics,24.9
Itahari,Paper and Paper Products,40.13
Itahari,Glass,2.95
Itahari,Metals,0
Itahari,Textiles,0
Itahari,Rubber and Leather,0
Itahari,Others,6.38
Jaleshwor,Organic Waste,17.09
Jaleshwor,Plastics,35.7
Jaleshwor,Paper and Paper Products,46.44
Jaleshwor,Glass,0.77
Jaleshwor,Metals,0
Jaleshwor,Textiles,0
Jaleshwor,Rubber and Leather,0
Jaleshwor,Others,0
Janakpur,Organic Waste,11.23
Janakpur,Plastics,25.58
Janakpur,Paper and Paper Products,43.38
Janakpur,Glass,0
Janakpur,Metals,0
Janakpur,Textiles,0
Janakpur,Rubber and Leather,0
Janakpur,Others,19.81
Kalaiya,Organic Waste,9.98
Kalaiya,Plastics,11.24
Kalaiya,Paper and Paper Products,36.08
Kalaiya,Glass,0
Kalaiya,Metals,7.51
Kalaiya,Textiles,1.39
Kalaiya,Rubber and Leather,0.47
Kalaiya,Others,33.33
Kamalamai,Organic Waste,12.28
Kamalamai,Plastics,17.48
Kamalamai,Paper and Paper Products,50.12
Kamalamai,Glass,4.54
Kamalamai,Metals,1.93
Kamalamai,Textiles,0
Kamalamai,Rubber and Leather,1.74
Kamalamai,Others,11.91
Kapilvastu,Organic Waste,0
Kapilvastu,Plastics,16.63
Kapilvastu,Paper and Paper Products,83.37
Kapilvastu,Glass,0
Kapilvastu,Metals,0
Kapilvastu,Textiles,0
Kapilvastu,Rubber and Leather,0
Kapilvastu,Others,0
Kathmandu MPC,Organic Waste,20.29
Kathmandu MPC,Plastics,24.55
Kathmandu MPC,Paper and Paper Products,44.28
Kathmandu MPC,Glass,1.37
Kathmandu MPC,Metals,1.13
Kathmandu MPC,Textiles,3.89
Kathmandu MPC,Rubber and Leather,1.14
Kathmandu MPC,Others,3.35
Khandbari,Organic Waste,4.94
Khandbari,Plastics,22.7
Khandbari,Paper and Paper Products,58.79
Khandbari,Glass,0.91
Khandbari,Metals,1.18
Khandbari,Textiles,3.18
Khandbari,Rubber and Leather,0.99
Khandbari,Others,7.31
Kirtipur,Organic Waste,22.13
Kirtipur,Plastics,14.31
Kirtipur,Paper and Paper Products,59.55
Kirtipur,Glass,3.25
Kirtipur,Metals,0
Kirtipur,Textiles,0.77
Kirtipur,Rubber and Leather,0
Kirtipur,Others,0
Lahan,Organic Waste,27.95
Lahan,Plastics,14.3
Lahan,Paper and Paper Products,50.87
Lahan,Glass,0.01
Lahan,Metals,1.17
Lahan,Textiles,0
Lahan,Rubber and Leather,0.52
Lahan,Others,5.19
Lalitpur SMPC,Organic Waste,14.53
Lalitpur SMPC,Plastics,23.05
Lalitpur SMPC,Paper and Paper Products,41.05
Lalitpur SMPC,Glass,0.11
Lalitpur SMPC,Metals,1.43
Lalitpur SMPC,Textiles,0
Lalitpur SMPC,Rubber and Leather,0.19
Lalitpur SMPC,Others,19.64
Lekhnath,Organic Waste,11.19
Lekhnath,Plastics,11.51
Lekhnath,Paper and Paper Products,48.58
Lekhnath,Glass,6.17
Lekhnath,Metals,1.92
Lekhnath,Textiles,0
Lekhnath,Rubber and Leather,2.39
Lekhnath,Others,18.24
Madhyapur Thimi,Organic Waste,0.77
Madhyapur Thimi,Plastics,19.18
Madhyapur Thimi,Paper and Paper Products,60.2
