Municipality,Category ,Year,NRs million
Dipayal Silgadhi,"Total Municipal Budget 
 ",FY2011,34.91
Dipayal Silgadhi,Total Municipal Budget  ,,56.71
Dipayal Silgadhi,Total Municipal Budget  ,FY2013,53.08
Dipayal Silgadhi,Total SWM Budget  ,FY2011,4.58
Dipayal Silgadhi,Total  SWM Budget  ,,0.58
Dipayal Silgadhi,Total SWM Budget  ,FY2013,0.63
Gaur,"Total Municipal Budget 
 ",FY2011,76.22
Gaur,Total Municipal Budget  ,,57.67
Gaur,Total Municipal Budget  ,FY2013,74.53
Gaur,Total SWM Budget  ,FY2011,1.42
Gaur,Total  SWM Budget  ,,3.66
Gaur,Total SWM Budget  ,FY2013,4.1
Ghorahi,"Total Municipal Budget 
 ",FY2011,71.22
Ghorahi,Total Municipal Budget  ,,79.82
Ghorahi,Total Municipal Budget  ,FY2013,99.73
Ghorahi,Total SWM Budget  ,FY2011,6
Ghorahi,Total  SWM Budget  ,,8
Ghorahi,Total SWM Budget  ,FY2013,8.5
Gorkha,"Total Municipal Budget 
 ",FY2011,...
Gorkha,Total Municipal Budget  ,,...
Gorkha,Total Municipal Budget  ,FY2013,76.84
Gorkha,Total SWM Budget  ,FY2011,...
Gorkha,Total  SWM Budget  ,,0.24
Gorkha,Total SWM Budget  ,FY2013,...
Gulariya,"Total Municipal Budget 
 ",FY2011,5.43
Gulariya,Total Municipal Budget  ,,8.05
Gulariya,Total Municipal Budget  ,FY2013,75.03
Gulariya,Total SWM Budget  ,FY2011,0.43
Gulariya,Total  SWM Budget  ,,0.65
Gulariya,Total SWM Budget  ,FY2013,...
Hetauda,"Total Municipal Budget 
 ",FY2011,0
Hetauda,Total Municipal Budget  ,,0
Hetauda,Total Municipal Budget  ,FY2013,225.86
Hetauda,Total SWM Budget  ,FY2011,9.86
Hetauda,Total  SWM Budget  ,,9.05
Hetauda,Total SWM Budget  ,FY2013,10
Ilam,"Total Municipal Budget 
 ",FY2011,68.6
Ilam,Total Municipal Budget  ,,86.59
Ilam,Total Municipal Budget  ,FY2013,75.3
Ilam,Total SWM Budget  ,FY2011,2.92
Ilam,Total  SWM Budget  ,,2.54
Ilam,Total SWM Budget  ,FY2013,3.44
Inaruwa,"Total Municipal Budget 
 ",FY2011,52
Inaruwa,Total Municipal Budget  ,,53.69
Inaruwa,Total Municipal Budget  ,FY2013,66.05
Inaruwa,Total SWM Budget  ,FY2011,0.9
Inaruwa,Total  SWM Budget  ,,1.4
Inaruwa,Total SWM Budget  ,FY2013,2.06
Itahari,"Total Municipal Budget 
 ",FY2011,74.25
Itahari,Total Municipal Budget  ,,101.01
Itahari,Total Municipal Budget  ,FY2013,128.52
Itahari,Total SWM Budget  ,FY2011,5.74
Itahari,Total  SWM Budget  ,,9.81
Itahari,Total SWM Budget  ,FY2013,8.4
Jaleshwor,"Total Municipal Budget 
 ",FY2011,54.34
Jaleshwor,Total Municipal Budget  ,,70.69
Jaleshwor,Total Municipal Budget  ,FY2013,84.68
Jaleshwor,Total SWM Budget  ,FY2011,0.42
Jaleshwor,Total  SWM Budget  ,,0.14
Jaleshwor,Total SWM Budget  ,FY2013,0.62
Janakpur,"Total Municipal Budget 
 ",FY2011,143.88
Janakpur,Total Municipal Budget  ,,166.09
Janakpur,Total Municipal Budget  ,FY2013,163.01
Janakpur,Total SWM Budget  ,FY2011,9.19
Janakpur,Total  SWM Budget  ,,9.25
Janakpur,Total SWM Budget  ,FY2013,10.35
Kalaiya,"Total Municipal Budget 
 ",FY2011,65.87
Kalaiya,Total Municipal Budget  ,,62.86
Kalaiya,Total Municipal Budget  ,FY2013,49.18
Kalaiya,Total SWM Budget  ,FY2011,5.17
Kalaiya,Total  SWM Budget  ,,4.61
Kalaiya,Total SWM Budget  ,FY2013,4.1
Kamalamai,"Total Municipal Budget 
 ",FY2011,100.82
Kamalamai,Total Municipal Budget  ,,104.89
Kamalamai,Total Municipal Budget  ,FY2013,89.73
Kamalamai,Total SWM Budget  ,FY2011,0.38
Kamalamai,Total  SWM Budget  ,,0.46
Kamalamai,Total SWM Budget  ,FY2013,1.05
Kapilvastu,"Total Municipal Budget 
 ",FY2011,57.43
Kapilvastu,Total Municipal Budget  ,,69.35
Kapilvastu,Total Municipal Budget  ,FY2013,0
Kapilvastu,Total SWM Budget  ,FY2011,1.2
Kapilvastu,Total  SWM Budget  ,,1.51
Kapilvastu,Total SWM Budget  ,FY2013,...
Kathmandu MPC,"Total Municipal Budget 
 ",FY2011,1212.85
Kathmandu MPC,Total Municipal Budget  ,,947.41
Kathmandu MPC,Total Municipal Budget  ,FY2013,1900
Kathmandu MPC,Total SWM Budget  ,FY2011,278.61
Kathmandu MPC,Total  SWM Budget  ,,253.13
Kathmandu MPC,Total SWM Budget  ,FY2013,443.1
Khandbari,"Total Municipal Budget 
 ",FY2011,63.47
Khandbari,Total Municipal Budget  ,,55.65
Khandbari,Total Municipal Budget  ,FY2013,...
Khandbari,Total SWM Budget  ,FY2011,...
Khandbari,Total  SWM Budget  ,,0.04
Khandbari,Total SWM Budget  ,FY2013,...
