title,source,csv file,git hub csv file,pdf link,pdf name,year
Allocated budget and expenditure on the water and sanitation program2070-71,Ministry of Urban Developement,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 37.csv&nid=2556,"https://github.com/opennepal/odp-water-and-sanitation/tree/master/Allocated budget and expenditure on the water and sanitation program,2070-71/data.csv",,,
Detail of Eight Terai Districts with Low Sanitation coverage  (2013),UN HABITAT,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Details-of-eight-terai-districts-with-low-coverage-of-sanitaion-csv.csv&nid=2540,https://github.com/opennepal/odp-water-and-sanitation/tree/master/Detail of Eight Terai Districts with Low Sanitation coverage  (2013)/data.csv,http://www.unhabitat.org.np/GSF_Nepal_Progress_Report_oct2013.pdf,GSF_Nepal_Progress_Report_oct2013.pdf,
District Coverage of Water Supply and Sanitation  (2011),Ministry of Urban Developement,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Districtwise-coverage-of-water-supply-and-sanitaion-csv.csv&nid=2538,https://github.com/opennepal/odp-water-and-sanitation/tree/master/District Coverage of Water Supply and Sanitation  (2011)/data.csv,http://www.un.org.np/sacosan/uploads/document/file/Nepal_20120411064334.pdf,Nepal_20120411064334.pdf,
Composition of Industrial Waste (%) in 58 municipalities 2013,Asian Development Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Composition-of-industrial-waste-csv.csv&nid=2394,https://github.com/opennepal/odp-water-and-sanitation/tree/master/Composition of Industrial Waste (%) in 58 municipalities 2013/data.csv,http://www.iplaportal.org/upload/document/135/solid-waste-management-nepal-ADB-Aug2013.pdf,solid-waste-management-nepal-ADB-Aug2013.pdf,
Composition of Commercial Waste (%) in 58 municipalities 2013.,Asian Development Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Composition-of-commercial-waste-csv.csv&nid=2387,https://github.com/opennepal/odp-water-and-sanitation/tree/master/Composition of Commercial Waste (%) in 58 municipalities 2013./data.csv,http://www.iplaportal.org/upload/document/135/solid-waste-management-nepal-ADB-Aug2013.pdf,solid-waste-management-nepal-ADB-Aug2013.pdf,
Composition of household Waste (%) in 58 municipalities  2013,Asian Development Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Composition-of-Household-Solid-Waste-csv.csv&nid=2380,https://github.com/opennepal/odp-water-and-sanitation/tree/master/Composition of household Waste (%) in 58 municipalities  2013/data.csv,http://www.iplaportal.org/upload/document/135/solid-waste-management-nepal-ADB-Aug2013.pdf,solid-waste-management-nepal-ADB-Aug2013.pdf,
The State of School Sanitation in Nepal,Water Aid,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data(1).csv&nid=66,https://github.com/opennepal/odp-water-and-sanitation/tree/master/The State of School Sanitation in Nepal/data.csv,,,
